,playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,skin_colour
1174,riesgo, Riesgo,CA Osasuna,Spain,06.10.1983,185.0,76.0,Goalkeeper,139.0,35.0,37.0,67.0,0.0,9.0,0.0,1.0,0.0
1175,riki, Riki,Deportivo La Coruña,Spain,11.08.1980,187.0,84.0,Center Forward,304.0,113.0,75.0,116.0,67.0,39.0,3.0,0.0,0.0
1176,roberto-lago, Roberto Lago,Celta Vigo,Spain,30.08.1985,178.0,76.0,Left Midfielder,190.0,74.0,45.0,71.0,6.0,37.0,5.0,0.0,0.25
1177,roman-neustaedter,Roman Neustädter,FC Schalke 04,Germany,18.02.1988,190.0,83.0,Center Back,262.0,139.0,54.0,69.0,18.0,29.0,2.0,0.0,0.125
1178,roman-weidenfeller,Roman Weidenfeller,Borussia Dortmund,Germany,06.08.1980,188.0,85.0,Goalkeeper,414.0,206.0,95.0,113.0,0.0,29.0,0.0,3.0,0.25
1179,ruben-castro, Rubén Castro,Real Betis,Spain,27.06.1981,172.0,69.0,Right Winger,349.0,121.0,88.0,140.0,126.0,29.0,0.0,1.0,0.25
1180,ruben-pardo, Rubén Pardo,Real Sociedad,Spain,22.10.1992,182.0,68.0,Center Midfielder,95.0,45.0,24.0,26.0,4.0,11.0,0.0,0.0,0.0
1181,ruben-perez_2, Rubén Pérez,Real Betis,Spain,26.04.1989,178.0,72.0,Defensive Midfielder,111.0,37.0,34.0,40.0,1.0,46.0,1.0,0.0,0.25
1182,salva-sevilla, Salva Sevilla,Real Betis,Spain,18.03.1984,178.0,70.0,Attacking Midfielder,189.0,72.0,48.0,69.0,30.0,42.0,1.0,0.0,0.25
1183,salvatore-sirigu,Salvatore Sirigu,Paris Saint-Germain,France,12.01.1987,190.0,80.0,Goalkeeper,230.0,127.0,48.0,55.0,0.0,10.0,0.0,0.0,0.25
1185,samuel_8, Samuel,Celta Vigo,Spain,26.04.1985,187.0,83.0,Center Back,152.0,68.0,36.0,48.0,8.0,33.0,1.0,2.0,0.25
1186,saul, Saúl,Deportivo La Coruña,Spain,09.04.1985,176.0,70.0,Right Midfielder,135.0,45.0,40.0,50.0,15.0,15.0,1.0,0.0,0.125
1188,sead-kolasinac,Sead Kolasinac,FC Schalke 04,Germany,20.06.1993,183.0,82.0,Left Fullback,116.0,70.0,23.0,23.0,15.0,25.0,0.0,0.0,0.125
1189,sebastian-fernandez,Sebastián Fernández,Málaga CF,Spain,23.05.1985,168.0,69.0,Center Forward,201.0,82.0,48.0,71.0,33.0,19.0,0.0,2.0,0.0
1190,sebastian-jung,Sebastian Jung,Eintracht Frankfurt,Germany,22.06.1990,179.0,72.0,Right Fullback,238.0,103.0,61.0,74.0,11.0,17.0,0.0,0.0,0.0
1191,sebastian-kehl,Sebastian Kehl,Borussia Dortmund,Germany,13.02.1980,188.0,80.0,Defensive Midfielder,459.0,236.0,107.0,116.0,35.0,89.0,3.0,3.0,0.0
1192,sebastian-rode,Sebastian Rode,Eintracht Frankfurt,Germany,11.10.1990,179.0,67.0,Defensive Midfielder,150.0,62.0,39.0,49.0,7.0,21.0,0.0,1.0,0.0
1194,sergio-alvarez_3, Sergio Álvarez,Celta Vigo,Spain,03.08.1986,179.0,75.0,Goalkeeper,29.0,19.0,3.0,7.0,0.0,0.0,0.0,1.0,0.125
1195,sergio-escudero_3, Sergio Escudero,FC Schalke 04,Germany,02.09.1989,176.0,67.0,Left Fullback,89.0,34.0,23.0,32.0,5.0,16.0,1.0,0.0,0.125
1196,sergio-garcia, Sergio García,Espanyol Barcelona,Spain,09.06.1983,174.0,72.0,Center Forward,313.0,111.0,88.0,114.0,73.0,41.0,2.0,2.0,0.25
1197,sergio-sanchez_2, Sergio Sánchez,Málaga CF,Spain,03.04.1986,185.0,76.0,Right Fullback,174.0,66.0,46.0,62.0,5.0,53.0,3.0,1.0,0.25
1198,sergio-tejera, Sergio Tejera,Espanyol Barcelona,Spain,28.05.1990,180.0,75.0,Attacking Midfielder,57.0,16.0,12.0,29.0,1.0,19.0,0.0,0.0,0.5
1199,siqueira, Siqueira,Granada CF,Spain,28.04.1986,184.0,76.0,Left Midfielder,180.0,71.0,44.0,65.0,15.0,32.0,6.0,1.0,0.0
1200,sisi, Sisi,CA Osasuna,Spain,22.04.1986,168.0,68.0,Left Winger,179.0,69.0,42.0,68.0,12.0,31.0,1.0,0.0,0.25
1201,srdjan-lakic,Sr?an Laki?,VfL Wolfsburg,Germany,02.10.1983,186.0,82.0,Center Forward,205.0,81.0,51.0,73.0,60.0,26.0,0.0,1.0,0.0
1202,stefan-babovic,Stefan Babovi?,Real Zaragoza,Spain,07.01.1987,180.0,72.0,Attacking Midfielder,144.0,82.0,20.0,42.0,19.0,24.0,3.0,1.0,0.0
1203,stelios-malezas,Stelios Malezas,Fortuna Düsseldorf,Germany,11.03.1985,192.0,80.0,Center Back,171.0,85.0,41.0,45.0,4.0,28.0,0.0,0.0,0.25
1204,stephan-schroeck,Stephan Schröck,1899 Hoffenheim,Germany,21.08.1986,170.0,68.0,Right Midfielder,229.0,103.0,50.0,76.0,9.0,49.0,4.0,0.0,0.25
1205,steve-mandanda,Stéve Mandanda,Olympique Marseille,France,28.03.1985,185.0,82.0,Goalkeeper,350.0,167.0,86.0,97.0,0.0,10.0,1.0,1.0,0.875
1206,tim-hoogland,Tim Hoogland,VfB Stuttgart,Germany,11.06.1985,183.0,75.0,Right Fullback,154.0,82.0,34.0,38.0,19.0,12.0,0.0,1.0,0.0
1207,tino-costa,Tino Costa,Valencia CF,Spain,09.01.1985,176.0,75.0,Attacking Midfielder,207.0,105.0,48.0,54.0,33.0,64.0,1.0,2.0,0.25
1209,toni-doblas, Toni Doblas,Real Zaragoza,Spain,05.08.1980,184.0,78.0,Goalkeeper,189.0,67.0,55.0,67.0,0.0,24.0,1.0,1.0,0.25
1210,tono, Toño,Granada CF,Spain,17.12.1979,182.0,82.0,Goalkeeper,214.0,65.0,64.0,85.0,0.0,21.0,0.0,5.0,0.0
1211,trashorras, Trashorras,Rayo Vallecano,Spain,28.02.1981,179.0,71.0,Attacking Midfielder,219.0,75.0,53.0,91.0,22.0,37.0,1.0,0.0,0.125
1212,verdu, Verdú,Espanyol Barcelona,Spain,05.05.1983,176.0,72.0,Attacking Midfielder,278.0,92.0,67.0,119.0,37.0,35.0,0.0,0.0,0.25
1213,victor-perez_2, Víctor Pérez,Real Valladolid,Spain,12.01.1988,176.0,71.0,Center Midfielder,131.0,47.0,46.0,38.0,13.0,19.0,0.0,0.0,0.125
1214,victor-ruiz_2, Víctor Ruiz,Valencia CF,Spain,25.01.1989,184.0,80.0,Center Back,141.0,70.0,30.0,41.0,5.0,43.0,2.0,1.0,0.25
1215,victor_12, Víctor,RCD Mallorca,Spain,28.02.1985,180.0,77.0,Center Forward,282.0,98.0,74.0,110.0,60.0,48.0,1.0,2.0,0.125
1216,wakaso-mubarak,Wakaso Mubarak,Espanyol Barcelona,Spain,25.07.1990,171.0,72.0,Left Midfielder,144.0,49.0,41.0,54.0,11.0,64.0,4.0,3.0,1.0
1217,xabi-prieto, Xabi Prieto,Real Sociedad,Spain,29.08.1983,186.0,76.0,Right Midfielder,329.0,121.0,85.0,123.0,47.0,36.0,1.0,1.0,0.25
1219,zoltan-stieber,Zoltán Stieber,SpVgg Greuther Fürth,Germany,16.10.1988,175.0,67.0,Left Midfielder,142.0,48.0,37.0,57.0,27.0,12.0,0.0,0.0,0.0
1220,zubikarai, Zubikarai,Real Sociedad,Spain,26.02.1984,185.0,84.0,Goalkeeper,47.0,14.0,15.0,18.0,0.0,2.0,0.0,2.0,0.0
1221,zurutuza, Zurutuza,Real Sociedad,Spain,19.07.1986,186.0,78.0,Defensive Midfielder,160.0,68.0,39.0,53.0,12.0,22.0,0.0,0.0,0.0
1223,baba-diawara,Babá Diawara,Sevilla FC,Spain,05.01.1988,179.0,76.0,Center Forward,163.0,57.0,41.0,65.0,47.0,12.0,1.0,0.0,1.0
1224,dani-gimenez, Dani Giménez,Rayo Vallecano,Spain,30.06.1983,182.0,77.0,Goalkeeper,86.0,31.0,21.0,34.0,0.0,8.0,0.0,1.0,0.0
1225,dani-hernandez,Dani Hernández,Real Valladolid,Spain,21.10.1985,196.0,85.0,Goalkeeper,68.0,22.0,25.0,21.0,0.0,2.0,0.0,0.0,0.25
1226,echaide, Echaide,CA Osasuna,Spain,05.01.1988,179.0,78.0,Center Back,103.0,33.0,28.0,42.0,3.0,24.0,2.0,1.0,0.0
1228,geromel, Geromel,RCD Mallorca,Spain,21.09.1985,190.0,84.0,Center Back,201.0,61.0,46.0,94.0,7.0,41.0,2.0,1.0,0.0
1231,javi-ros, Javi Ros,Real Sociedad,Spain,16.02.1990,174.0,69.0,Center Midfielder,28.0,16.0,2.0,10.0,2.0,2.0,0.0,0.0,0.375
1232,jonathan-dos-santos,Jonathan dos Santos,FC Barcelona,Spain,26.04.1990,172.0,74.0,Center Midfielder,92.0,52.0,19.0,21.0,5.0,13.0,1.0,1.0,0.5
1233,miguel-flano, Miguel Flaño,CA Osasuna,Spain,19.08.1984,177.0,72.0,Center Back,231.0,75.0,61.0,95.0,9.0,46.0,1.0,3.0,0.25
1234,oier_2, Oier,CA Osasuna,Spain,25.05.1986,178.0,66.0,Right Fullback,120.0,44.0,28.0,48.0,2.0,27.0,0.0,0.0,0.25
1235,pablo-insua, Pablo Insúa,Deportivo La Coruña,Spain,09.09.1993,186.0,76.0,Center Back,42.0,19.0,12.0,11.0,3.0,11.0,0.0,0.0,0.0
1236,raoul-loe,Raoul Loé,CA Osasuna,Spain,31.01.1989,192.0,83.0,Defensive Midfielder,57.0,15.0,14.0,28.0,2.0,10.0,1.0,0.0,1.0
1237,roland-lamah,Roland Lamah,CA Osasuna,Spain,31.12.1987,180.0,71.0,Left Midfielder,217.0,66.0,63.0,88.0,29.0,24.0,2.0,0.0,1.0
1238,ruben-mino, Rubén Miño,RCD Mallorca,Spain,18.01.1989,190.0,87.0,Goalkeeper,61.0,19.0,16.0,26.0,0.0,5.0,0.0,0.0,0.625
1240,timor_2, Timor,CA Osasuna,Spain,17.01.1989,185.0,77.0,Center Midfielder,80.0,19.0,30.0,31.0,9.0,28.0,1.0,0.0,0.0
1241,victor-alvarez, Víctor Álvarez,Espanyol Barcelona,Spain,14.03.1993,178.0,69.0,Left Fullback,30.0,9.0,9.0,12.0,1.0,3.0,1.0,1.0,0.125
1244,ryan-mclaughlin_2,Ryan McLaughlin,Liverpool FC,England,30.09.1994,183.0,75.0,Right Fullback,16.0,4.0,2.0,10.0,2.0,1.0,0.0,0.0,0.0
1245,anton-putsila,Anton Putsila,SC Freiburg,Germany,10.06.1987,180.0,74.0,Center Midfielder,139.0,39.0,36.0,64.0,11.0,24.0,0.0,0.0,0.125
1246,azpilicueta_2, Azpilicueta,Chelsea FC,England,28.08.1989,178.0,70.0,Right Fullback,289.0,133.0,65.0,91.0,4.0,41.0,1.0,0.0,0.25
1247,felipe_19, Felipe,Hannover 96,Germany,15.05.1987,193.0,85.0,Center Back,116.0,46.0,33.0,37.0,6.0,31.0,0.0,2.0,0.5
1248,gianni-bruno,Gianni Bruno,Lille OSC,France,19.08.1991,180.0,74.0,Center Forward,63.0,17.0,20.0,26.0,12.0,11.0,0.0,1.0,0.25
1251,idrissa-gueye,Idrissa Gueye,Lille OSC,France,26.09.1989,174.0,64.0,Defensive Midfielder,128.0,62.0,40.0,26.0,2.0,19.0,0.0,1.0,1.0
1252,jan-schlaudraff,Jan Schlaudraff,Hannover 96,Germany,18.07.1983,180.0,72.0,Left Winger,282.0,125.0,55.0,102.0,50.0,31.0,0.0,1.0,0.125
1253,kalilou-traore,Kalilou Traoré,FC Sochaux,France,09.09.1987,192.0,76.0,Defensive Midfielder,109.0,39.0,23.0,47.0,13.0,27.0,2.0,1.0,0.75
1254,konstantin-rausch,Konstantin Rausch,Hannover 96,Germany,15.03.1990,182.0,78.0,Left Midfielder,225.0,91.0,52.0,82.0,14.0,21.0,0.0,0.0,0.25
1255,luiz-gustavo, Luiz Gustavo,Bayern München,Germany,23.07.1987,187.0,80.0,Defensive Midfielder,258.0,159.0,44.0,55.0,13.0,63.0,6.0,1.0,0.75
1256,manuel-schmiedebach,Manuel Schmiedebach,Hannover 96,Germany,05.12.1988,170.0,70.0,Defensive Midfielder,236.0,105.0,44.0,87.0,17.0,40.0,1.0,1.0,0.25
1257,michael-mancienne,Michael Mancienne,Hamburger SV,Germany,08.01.1988,184.0,74.0,Center Back,200.0,71.0,52.0,77.0,0.0,25.0,0.0,1.0,0.625
1258,petr-jiracek,Petr Jirá?ek,Hamburger SV,Germany,02.03.1986,180.0,77.0,Left Midfielder,187.0,85.0,44.0,58.0,18.0,24.0,0.0,1.0,0.125
1259,phil-jones,Phil Jones,Manchester United,England,21.02.1992,180.0,71.0,Center Back,160.0,84.0,36.0,40.0,5.0,24.0,0.0,0.0,0.0
1260,ron-robert-zieler,Ron-Robert Zieler,Hannover 96,Germany,12.02.1989,188.0,83.0,Goalkeeper,174.0,74.0,39.0,61.0,0.0,10.0,0.0,1.0,0.125
1261,ryan-bertrand,Ryan Bertrand,Chelsea FC,England,05.08.1989,179.0,85.0,Left Fullback,224.0,88.0,61.0,75.0,4.0,31.0,0.0,0.0,0.625
1263,sofian-chahed,Sofian Chahed,Hannover 96,Germany,18.04.1983,178.0,73.0,Defensive Midfielder,237.0,103.0,58.0,76.0,9.0,35.0,2.0,1.0,0.25
1264,vegar-hedenstad,Vegar Hedenstad,SC Freiburg,Germany,26.06.1991,178.0,74.0,Left Fullback,146.0,58.0,31.0,57.0,6.0,13.0,0.0,1.0,0.25
1266,bas-dost,Bas Dost,VfL Wolfsburg,Germany,31.05.1989,192.0,85.0,Center Forward,184.0,72.0,49.0,63.0,83.0,11.0,0.0,0.0,0.25
1267,ioannis-gelios,Ioannis Gelios,FC Augsburg,Germany,24.04.1992,190.0,76.0,Goalkeeper,76.0,27.0,22.0,27.0,0.0,1.0,0.0,1.0,0.0
1268,abdul-razak,Abdul Razak,Manchester City,England,11.11.1992,180.0,78.0,Center Midfielder,36.0,16.0,8.0,12.0,0.0,2.0,0.0,0.0,1.0
1269,djiby-fall,Djiby Fall,SpVgg Greuther Fürth,Germany,20.04.1985,187.0,75.0,Center Forward,123.0,46.0,32.0,45.0,53.0,19.0,0.0,1.0,1.0
1270,boris-vukcevic,Boris Vuk?evi?,1899 Hoffenheim,Germany,16.03.1990,182.0,76.0,Attacking Midfielder,112.0,47.0,29.0,36.0,10.0,6.0,0.0,0.0,0.25
1271,jan-kirchhoff,Jan Kirchhoff,1. FSV Mainz 05,Germany,01.10.1990,195.0,82.0,Center Back,143.0,75.0,31.0,37.0,7.0,18.0,0.0,0.0,0.125
1272,karim-bellarabi,Karim Bellarabi,Bayer Leverkusen,Germany,08.04.1990,183.0,76.0,Right Winger,124.0,48.0,30.0,46.0,24.0,15.0,0.0,0.0,0.5
1273,oliver-sorg,Oliver Sorg,SC Freiburg,Germany,29.05.1990,175.0,77.0,Right Fullback,200.0,101.0,39.0,60.0,3.0,16.0,1.0,0.0,0.25
1274,remy-cabella,Rémy Cabella,Montpellier HSC,France,08.03.1990,171.0,62.0,Attacking Midfielder,131.0,49.0,37.0,45.0,29.0,16.0,0.0,0.0,0.0
1275,sebastian-rudy,Sebastian Rudy,1899 Hoffenheim,Germany,28.02.1990,177.0,72.0,Defensive Midfielder,208.0,82.0,58.0,68.0,21.0,37.0,0.0,0.0,0.0
1276,adrien-rabiot,Adrien Rabiot,Paris Saint-Germain,France,03.04.1995,188.0,71.0,Defensive Midfielder,66.0,42.0,14.0,10.0,6.0,11.0,0.0,0.0,0.0
1277,anthony-mounier,Anthony Mounier,Montpellier HSC,France,27.09.1987,174.0,65.0,Left Midfielder,186.0,61.0,60.0,65.0,20.0,19.0,0.0,0.0,0.0
1278,bryan-oviedo,Bryan Oviedo,Everton FC,England,18.02.1990,172.0,70.0,Left Fullback,115.0,51.0,32.0,32.0,4.0,18.0,0.0,0.0,0.25
1279,christian-pander,Christian Pander,Hannover 96,Germany,28.08.1983,186.0,80.0,Left Fullback,229.0,120.0,42.0,67.0,18.0,14.0,1.0,1.0,0.25
1280,enda-stevens,Enda Stevens,Aston Villa,England,09.07.1990,183.0,74.0,Left Fullback,49.0,12.0,9.0,28.0,0.0,8.0,0.0,0.0,0.125
1281,joe-allen,Joe Allen,Liverpool FC,England,14.03.1990,168.0,62.0,Attacking Midfielder,233.0,113.0,57.0,63.0,11.0,25.0,1.0,0.0,0.0
1282,mario-eggimann,Mario Eggimann,Hannover 96,Germany,24.01.1981,189.0,84.0,Center Back,328.0,139.0,70.0,119.0,23.0,46.0,1.0,0.0,0.0
1283,nemanja-pejcinovic,Nemanja Pej?inovi?,OGC Nice,France,04.11.1987,185.0,84.0,Center Back,132.0,44.0,34.0,54.0,7.0,18.0,0.0,1.0,0.25
1284,romain-danze,Romain Danzé,Stade Rennes,France,03.07.1986,184.0,71.0,Right Midfielder,241.0,104.0,68.0,69.0,8.0,21.0,0.0,0.0,0.25
1286,younes-belhanda,Younès Belhanda,Montpellier HSC,France,25.02.1990,174.0,75.0,Attacking Midfielder,173.0,77.0,42.0,54.0,37.0,32.0,2.0,3.0,0.25
1288,craig-gardner,Craig Gardner,Sunderland AFC,England,25.11.1986,178.0,76.0,Right Midfielder,239.0,87.0,65.0,87.0,31.0,45.0,2.0,2.0,0.125
1289,daniel-didavi,Daniel Didavi,VfB Stuttgart,Germany,21.02.1990,179.0,77.0,Left Midfielder,131.0,50.0,25.0,56.0,26.0,13.0,1.0,0.0,0.625
1290,edu_4, Edu,SpVgg Greuther Fürth,Germany,30.11.1981,185.0,90.0,Center Forward,221.0,80.0,60.0,81.0,51.0,28.0,0.0,0.0,0.0
1291,karim-guede,Karim Guédé,SC Freiburg,Germany,07.01.1985,184.0,85.0,Defensive Midfielder,117.0,38.0,34.0,45.0,9.0,21.0,2.0,2.0,0.75
1292,lukas-schmitz,Lukas Schmitz,Werder Bremen,Germany,13.10.1988,184.0,80.0,Left Fullback,167.0,71.0,41.0,55.0,7.0,26.0,2.0,1.0,0.375
1293,sven-bender,Sven Bender,Borussia Dortmund,Germany,27.04.1989,185.0,72.0,Defensive Midfielder,258.0,131.0,63.0,64.0,8.0,34.0,0.0,0.0,0.0
1294,sven-ulreich,Sven Ulreich,VfB Stuttgart,Germany,03.08.1988,189.0,80.0,Goalkeeper,265.0,109.0,59.0,97.0,0.0,18.0,0.0,0.0,0.25
1295,tomas-rincon,Tomás Rincón,Hamburger SV,Germany,13.01.1988,175.0,75.0,Defensive Midfielder,177.0,61.0,44.0,72.0,0.0,43.0,2.0,2.0,0.25
1296,vurnon-anita,Vurnon Anita,Newcastle United,England,04.04.1989,166.0,63.0,Defensive Midfielder,218.0,115.0,43.0,60.0,7.0,22.0,1.0,1.0,1.0
1297,wolfgang-hesl,Wolfgang Hesl,SpVgg Greuther Fürth,Germany,13.01.1986,186.0,87.0,Goalkeeper,181.0,70.0,44.0,67.0,0.0,3.0,0.0,0.0,0.125
1298,ivan-santini,Ivan Santini,SC Freiburg,Germany,21.05.1989,190.0,84.0,Center Forward,131.0,46.0,37.0,48.0,43.0,20.0,0.0,0.0,0.125
1299,mensur-mujdza,Mensur Mujdža,SC Freiburg,Germany,28.03.1984,185.0,77.0,Right Fullback,143.0,63.0,24.0,56.0,2.0,30.0,0.0,0.0,0.25
1300,robert-almer,Robert Almer,Fortuna Düsseldorf,Germany,20.03.1984,194.0,88.0,Goalkeeper,112.0,52.0,24.0,36.0,0.0,1.0,0.0,0.0,0.0
1302,thanos-petsos,Thanos Petsos,SpVgg Greuther Fürth,Germany,05.06.1991,184.0,80.0,Defensive Midfielder,154.0,67.0,37.0,50.0,18.0,26.0,0.0,1.0,0.0
1303,heinrich-schmidtgal,Heinrich Schmidtgal,SpVgg Greuther Fürth,Germany,20.11.1985,174.0,78.0,Left Fullback,229.0,99.0,56.0,74.0,24.0,37.0,2.0,0.0,0.0
1304,ahmed-sassi,Ahmed Sassi,1899 Hoffenheim,Germany,24.09.1993,179.0,69.0,Attacking Midfielder,15.0,6.0,1.0,8.0,4.0,1.0,0.0,0.0,0.5
1306,alexander-schwolow,Alexander Schwolow,SC Freiburg,Germany,02.06.1992,189.0,83.0,Goalkeeper,89.0,41.0,22.0,26.0,0.0,1.0,0.0,0.0,0.125
1307,andre-fomitschow,André Fomitschow,Fortuna Düsseldorf,Germany,07.09.1990,180.0,74.0,Left Midfielder,136.0,60.0,28.0,48.0,32.0,15.0,1.0,2.0,0.25
1308,benedikt-roecker,Benedikt Röcker,VfB Stuttgart,Germany,19.11.1989,197.0,90.0,Center Back,135.0,42.0,43.0,50.0,9.0,12.0,0.0,1.0,0.0
1309,benjamin-uphoff,Benjamin Uphoff,1. FC Nürnberg,Germany,08.08.1993,190.0,78.0,Goalkeeper,64.0,24.0,17.0,23.0,0.0,0.0,0.0,0.0,0.0
1310,daniel-batz,Daniel Batz,SC Freiburg,Germany,12.01.1991,189.0,84.0,Goalkeeper,62.0,29.0,18.0,15.0,0.0,2.0,0.0,0.0,0.0
1311,felix-klaus,Felix Klaus,SpVgg Greuther Fürth,Germany,13.09.1992,179.0,79.0,Right Midfielder,147.0,64.0,32.0,51.0,29.0,20.0,0.0,0.0,0.0
1312,florian-hartherz,Florian Hartherz,Werder Bremen,Germany,29.05.1993,187.0,82.0,Left Fullback,97.0,53.0,23.0,21.0,3.0,10.0,0.0,0.0,0.125
1313,ilir-azemi,Ilir Azemi,SpVgg Greuther Fürth,Germany,21.02.1992,191.0,91.0,Center Forward,145.0,58.0,32.0,55.0,51.0,14.0,0.0,1.0,0.0
1314,immanuel-hoehn,Immanuel Höhn,SC Freiburg,Germany,23.12.1991,183.0,72.0,Center Back,119.0,52.0,26.0,41.0,6.0,14.0,2.0,0.0,0.0
1315,janek-sternberg,Janek Sternberg,Hamburger SV,Germany,19.10.1992,181.0,78.0,Center Back,125.0,57.0,20.0,48.0,5.0,26.0,1.0,0.0,0.0
1316,jonathan-schmid,Jonathan Schmid,SC Freiburg,Germany,26.06.1990,179.0,77.0,Right Midfielder,191.0,80.0,47.0,64.0,44.0,5.0,0.0,0.0,0.0
1317,julian-riedel,Julian Riedel,Bayer Leverkusen,Germany,10.08.1991,183.0,73.0,Left Fullback,133.0,62.0,28.0,43.0,6.0,8.0,0.0,0.0,0.25
1318,kevin-pannewitz,Kevin Pannewitz,VfL Wolfsburg,Germany,16.10.1991,185.0,90.0,Defensive Midfielder,132.0,67.0,23.0,42.0,13.0,30.0,1.0,1.0,0.25
1319,koen-casteels,Koen Casteels,1899 Hoffenheim,Germany,25.06.1992,196.0,83.0,Goalkeeper,78.0,27.0,20.0,31.0,0.0,3.0,0.0,1.0,0.25
1320,michael-schulze,Michael Schulze,VfL Wolfsburg,Germany,13.01.1989,185.0,78.0,Right Fullback,155.0,71.0,38.0,46.0,9.0,17.0,1.0,0.0,0.0
1321,mike-frantz,Mike Frantz,1. FC Nürnberg,Germany,14.10.1986,180.0,79.0,Left Midfielder,195.0,66.0,51.0,78.0,30.0,16.0,1.0,1.0,0.125
1322,niclas-fuellkrug,Niclas Füllkrug,Werder Bremen,Germany,09.02.1993,188.0,78.0,Center Forward,106.0,38.0,24.0,44.0,36.0,4.0,0.0,0.0,0.125
1323,niko-giesselmann,Niko Gießelmann,Hannover 96,Germany,26.09.1991,181.0,73.0,Left Midfielder,153.0,75.0,30.0,48.0,22.0,19.0,0.0,1.0,0.0
1324,oezkan-yildirim,Özkan Yildirim,Werder Bremen,Germany,10.04.1993,172.0,76.0,Attacking Midfielder,59.0,26.0,14.0,19.0,12.0,4.0,0.0,1.0,0.125
1325,patrick-rakovsky,Patrick Rakovsky,1. FC Nürnberg,Germany,02.06.1993,187.0,85.0,Goalkeeper,67.0,34.0,18.0,15.0,0.0,2.0,0.0,0.0,0.125
1326,philipp-klement,Philipp Klement,1. FC Nürnberg,Germany,09.09.1992,174.0,69.0,Center Midfielder,119.0,54.0,28.0,37.0,25.0,4.0,0.0,0.0,0.0
1327,rani-khedira,Rani Khedira,VfB Stuttgart,Germany,27.01.1994,188.0,83.0,Defensive Midfielder,88.0,33.0,19.0,36.0,2.0,14.0,0.0,0.0,0.375
1328,robert-zillner,Robert Zillner,SpVgg Greuther Fürth,Germany,04.08.1985,183.0,74.0,Left Midfielder,169.0,78.0,33.0,58.0,18.0,26.0,3.0,0.0,0.0
1330,sascha-schuenemann,Sascha Schünemann,Hannover 96,Germany,20.02.1992,179.0,72.0,Center Midfielder,116.0,55.0,21.0,40.0,5.0,14.0,1.0,4.0,0.0
1331,soufian-benyamina,Soufian Benyamina,VfB Stuttgart,Germany,02.03.1990,189.0,78.0,Center Forward,161.0,55.0,56.0,50.0,41.0,8.0,0.0,1.0,0.375
1332,tom-trybull,Tom Trybull,Werder Bremen,Germany,09.03.1993,181.0,72.0,Defensive Midfielder,110.0,42.0,30.0,38.0,3.0,18.0,2.0,0.0,0.125
1333,bastian-mueller,Bastian Müller,Fortuna Düsseldorf,Germany,31.07.1991,185.0,75.0,Defensive Midfielder,92.0,32.0,22.0,38.0,2.0,15.0,0.0,0.0,0.0
1334,bernd-nehrig,Bernd Nehrig,SpVgg Greuther Fürth,Germany,28.09.1986,180.0,79.0,Right Midfielder,256.0,112.0,58.0,86.0,53.0,59.0,2.0,1.0,0.0
1335,chinedu-ede,Chinedu Ede,1. FSV Mainz 05,Germany,05.02.1987,178.0,83.0,Left Winger,212.0,82.0,54.0,76.0,27.0,9.0,0.0,0.0,0.5
1336,christian-wetklo,Christian Wetklo,1. FSV Mainz 05,Germany,11.01.1980,190.0,90.0,Goalkeeper,183.0,69.0,45.0,69.0,0.0,20.0,0.0,3.0,0.125
1337,daniel-caligiuri,Daniel Caligiuri,SC Freiburg,Germany,15.01.1988,182.0,79.0,Attacking Midfielder,196.0,89.0,42.0,65.0,37.0,34.0,0.0,2.0,0.25
1338,daniel-williams,Daniel Williams,1899 Hoffenheim,Germany,08.03.1989,184.0,75.0,Defensive Midfielder,183.0,73.0,41.0,69.0,8.0,37.0,0.0,1.0,0.5
1339,david-yelldell,David Yelldell,Bayer Leverkusen,Germany,01.10.1981,194.0,88.0,Goalkeeper,211.0,78.0,51.0,82.0,0.0,7.0,0.0,1.0,0.75
1340,edgar-prib,Edgar Prib,SpVgg Greuther Fürth,Germany,15.12.1989,180.0,77.0,Center Midfielder,186.0,72.0,46.0,68.0,18.0,32.0,1.0,1.0,0.0
1341,fabian-johnson,Fabian Johnson,1899 Hoffenheim,Germany,11.12.1987,178.0,64.0,Left Fullback,276.0,95.0,75.0,106.0,12.0,8.0,0.0,0.0,0.25
1342,heiko-butscher,Heiko Butscher,Eintracht Frankfurt,Germany,28.07.1980,189.0,86.0,Center Back,276.0,119.0,54.0,103.0,25.0,15.0,0.0,1.0,0.0
1343,jens-grahl,Jens Grahl,1899 Hoffenheim,Germany,22.09.1988,193.0,86.0,Goalkeeper,129.0,60.0,34.0,35.0,0.0,3.0,0.0,0.0,0.25
1344,julian-schuster,Julian Schuster,SC Freiburg,Germany,15.04.1985,190.0,78.0,Defensive Midfielder,238.0,105.0,52.0,81.0,20.0,41.0,0.0,0.0,0.125
1345,lukas-rupp,Lukas Rupp,Bor. Mönchengladbach,Germany,08.01.1991,178.0,73.0,Right Winger,151.0,65.0,42.0,44.0,23.0,9.0,1.0,0.0,0.25
1346,marco-caligiuri,Marco Caligiuri,1. FSV Mainz 05,Germany,14.04.1984,180.0,75.0,Defensive Midfielder,240.0,86.0,63.0,91.0,13.0,25.0,0.0,0.0,0.25
